,country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count,source
150,Africa (total),,Africa,352325033,cases,0.0,2020-01,,0.0,"Epidemic intelligence, national weekly data"
151,Africa (total),,Africa,352325033,cases,0.0,2020-02,0.0,0.0,"Epidemic intelligence, national weekly data"
152,Africa (total),,Africa,352325033,cases,0.0,2020-03,0.0,0.0,"Epidemic intelligence, national weekly data"
153,Africa (total),,Africa,352325033,cases,0.0,2020-04,0.0,0.0,"Epidemic intelligence, national weekly data"
154,Africa (total),,Africa,352325033,cases,0.0,2020-05,0.0,0.0,"Epidemic intelligence, national weekly data"
155,Africa (total),,Africa,352325033,cases,0.0,2020-06,0.0,0.0,"Epidemic intelligence, national weekly data"
156,Africa (total),,Africa,352325033,cases,1.0,2020-07,0.0002838288246183,1.0,"Epidemic intelligence, national weekly data"
157,Africa (total),,Africa,352325033,cases,0.0,2020-08,0.0002838288246183,1.0,"Epidemic intelligence, national weekly data"
158,Africa (total),,Africa,352325033,cases,5.0,2020-09,0.0014191441230915,6.0,"Epidemic intelligence, national weekly data"
159,Africa (total),,Africa,438179587,cases,69.0,2020-10,0.0168880527974025,75.0,"Epidemic intelligence, national weekly data"
160,Africa (total),,Africa,927809342,cases,248.0,2020-11,0.0341665022812413,323.0,"Epidemic intelligence, national weekly data"
161,Africa (total),,Africa,1253962389,cases,1066.0,2020-12,0.104787831878106,1389.0,"Epidemic intelligence, national weekly data"
162,Africa (total),,Africa,1283052508,cases,3240.0,2020-13,0.335605906473159,4629.0,"Epidemic intelligence, national weekly data"
163,Africa (total),,Africa,1335595583,cases,4546.0,2020-14,0.582960897677662,9175.0,"Epidemic intelligence, national weekly data"
164,Africa (total),,Africa,1335814744,cases,5347.0,2020-15,0.740596706574456,14522.0,"Epidemic intelligence, national weekly data"
165,Africa (total),,Africa,1335814744,cases,7781.0,2020-16,0.982771006156824,22303.0,"Epidemic intelligence, national weekly data"
166,Africa (total),,Africa,1336412074,cases,9445.0,2020-17,1.28897368821587,31748.0,"Epidemic intelligence, national weekly data"
167,Africa (total),,Africa,1337281669,cases,12687.0,2020-18,1.65499913092729,44435.0,"Epidemic intelligence, national weekly data"
168,Africa (total),,Africa,1337281669,cases,18956.0,2020-19,2.36621803270976,63391.0,"Epidemic intelligence, national weekly data"
169,Africa (total),,Africa,1339423921,cases,21425.0,2020-20,3.01480355598338,84816.0,"Epidemic intelligence, national weekly data"
170,Africa (total),,Africa,1339423921,cases,27093.0,2020-21,3.62230353208691,111909.0,"Epidemic intelligence, national weekly data"
171,Africa (total),,Africa,1339423921,cases,35087.0,2020-22,4.64229427480861,146996.0,"Epidemic intelligence, national weekly data"
172,Africa (total),,Africa,1339423921,cases,42602.0,2020-23,5.80018012086855,189598.0,"Epidemic intelligence, national weekly data"
173,Africa (total),,Africa,1339423921,cases,53527.0,2020-24,7.17689138538239,243125.0,"Epidemic intelligence, national weekly data"
174,Africa (total),,Africa,1339423921,cases,62942.0,2020-25,8.69545467823551,306067.0,"Epidemic intelligence, national weekly data"
175,Africa (total),,Africa,1339423921,cases,76663.0,2020-26,10.4227644296342,382730.0,"Epidemic intelligence, national weekly data"
176,Africa (total),,Africa,1339423921,cases,95341.0,2020-27,12.8416401486681,478071.0,"Epidemic intelligence, national weekly data"
177,Africa (total),,Africa,1339423921,cases,117490.0,2020-28,15.88974160183,595561.0,"Epidemic intelligence, national weekly data"
178,Africa (total),,Africa,1339423921,cases,126318.0,2020-29,18.2024522764963,721879.0,"Epidemic intelligence, national weekly data"
179,Africa (total),,Africa,1339423921,cases,125799.0,2020-30,18.8227935941126,847678.0,"Epidemic intelligence, national weekly data"
180,Africa (total),,Africa,1339423921,cases,110152.0,2020-31,17.6158568098322,957830.0,"Epidemic intelligence, national weekly data"
181,Africa (total),,Africa,1339423921,cases,90991.0,2020-32,15.0171276506566,1048821.0,"Epidemic intelligence, national weekly data"
182,Africa (total),,Africa,1339423921,cases,70758.0,2020-33,12.0760124904474,1119579.0,"Epidemic intelligence, national weekly data"
183,Africa (total),,Africa,1339423921,cases,68608.0,2020-34,10.4049209376484,1188187.0,"Epidemic intelligence, national weekly data"
184,Africa (total),,Africa,1339423921,cases,57998.0,2020-35,9.45227257890671,1246185.0,"Epidemic intelligence, national weekly data"
185,Africa (total),,Africa,1339423921,cases,53958.0,2020-36,8.35851878144858,1300143.0,"Epidemic intelligence, national weekly data"
186,Africa (total),,Africa,1339423921,cases,53884.0,2020-37,8.0513718106129,1354027.0,"Epidemic intelligence, national weekly data"
187,Africa (total),,Africa,1339423921,cases,54413.0,2020-38,8.08534163845204,1408440.0,"Epidemic intelligence, national weekly data"
188,Africa (total),,Africa,1339423921,cases,52596.0,2020-39,7.98918089503047,1461036.0,"Epidemic intelligence, national weekly data"
189,Africa (total),,Africa,1339423921,cases,55870.0,2020-40,8.09795900307801,1516906.0,"Epidemic intelligence, national weekly data"
190,Africa (total),,Africa,1339423921,cases,62404.0,2020-41,8.83021410515783,1579310.0,"Epidemic intelligence, national weekly data"
191,Africa (total),,Africa,1339423921,cases,67552.0,2020-42,9.70238010255754,1646862.0,"Epidemic intelligence, national weekly data"
192,Africa (total),,Africa,1339423921,cases,72041.0,2020-43,10.4218685220868,1718903.0,"Epidemic intelligence, national weekly data"
193,Africa (total),,Africa,1339423921,cases,77845.0,2020-44,11.1903332208743,1796748.0,"Epidemic intelligence, national weekly data"
194,Africa (total),,Africa,1339423921,cases,86811.0,2020-45,12.2930460938065,1883559.0,"Epidemic intelligence, national weekly data"
195,Africa (total),,Africa,1339423921,cases,92722.0,2020-46,13.403747475703,1976281.0,"Epidemic intelligence, national weekly data"
196,Africa (total),,Africa,1339423921,cases,90435.0,2020-47,13.6743115550196,2066716.0,"Epidemic intelligence, national weekly data"
197,Africa (total),,Africa,1339423921,cases,97447.0,2020-48,14.0270751518107,2164163.0,"Epidemic intelligence, national weekly data"
198,Africa (total),,Africa,1339423921,cases,98997.0,2020-49,14.6663051868849,2263160.0,"Epidemic intelligence, national weekly data"
199,Africa (total),,Africa,1339423921,cases,117838.0,2020-50,16.1886760868145,2380998.0,"Epidemic intelligence, national weekly data"
200,Africa (total),,Africa,1339423921,cases,130951.0,2020-51,18.574328567632,2511949.0,"Epidemic intelligence, national weekly data"
201,Africa (total),,Africa,1339423921,cases,162438.0,2020-52,21.9041182854909,2674387.0,"Epidemic intelligence, national weekly data"
202,Africa (total),,Africa,1339423921,cases,158366.0,2020-53,23.9508937365021,2832753.0,"Epidemic intelligence, national weekly data"
203,Africa (total),,Africa,1339423921,cases,227221.0,2021-01,28.7875252901355,3059974.0,"Epidemic intelligence, national weekly data"
