,country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count,source
582,America (total),,America,738727930,cases,0.0,2020-01,,0.0,"Epidemic intelligence, national weekly data"
583,America (total),,America,738727930,cases,0.0,2020-02,0.0,0.0,"Epidemic intelligence, national weekly data"
584,America (total),,America,738727930,cases,1.0,2020-03,0.0001353678342715,1.0,"Epidemic intelligence, national weekly data"
585,America (total),,America,738727930,cases,6.0,2020-04,0.0009475748399008,7.0,"Epidemic intelligence, national weekly data"
586,America (total),,America,738727930,cases,10.0,2020-05,0.0021658853483446,17.0,"Epidemic intelligence, national weekly data"
587,America (total),,America,738727930,cases,4.0,2020-06,0.0018951496798016,21.0,"Epidemic intelligence, national weekly data"
588,America (total),,America,738727930,cases,5.0,2020-07,0.0012183105084438,26.0,"Epidemic intelligence, national weekly data"
589,America (total),,America,738727930,cases,22.0,2020-08,0.0036549315253316,48.0,"Epidemic intelligence, national weekly data"
590,America (total),,America,738727930,cases,89.0,2020-09,0.0150258296041413,137.0,"Epidemic intelligence, national weekly data"
591,America (total),,America,841105876,cases,583.0,2020-10,0.0798948169516771,720.0,"Epidemic intelligence, national weekly data"
592,America (total),,America,968889991,cases,4235.0,2020-11,0.497270076557123,4955.0,"Epidemic intelligence, national weekly data"
593,America (total),,America,1017749131,cases,37508.0,2020-12,4.10150190538458,42463.0,"Epidemic intelligence, national weekly data"
594,America (total),,America,1021673859,cases,123189.0,2020-13,15.7287962870351,165652.0,"Epidemic intelligence, national weekly data"
595,America (total),,America,1021703563,cases,223158.0,2020-14,33.898971535641,388810.0,"Epidemic intelligence, national weekly data"
596,America (total),,America,1021703563,cases,261256.0,2020-15,47.4123823722048,650066.0,"Epidemic intelligence, national weekly data"
597,America (total),,America,1021703563,cases,254387.0,2020-16,50.4689440923483,904453.0,"Epidemic intelligence, national weekly data"
598,America (total),,America,1021703563,cases,286123.0,2020-17,52.9028203065981,1190576.0,"Epidemic intelligence, national weekly data"
599,America (total),,America,1021703563,cases,295854.0,2020-18,56.9614339301272,1486430.0,"Epidemic intelligence, national weekly data"
600,America (total),,America,1021703563,cases,299665.0,2020-19,58.2868673034079,1786095.0,"Epidemic intelligence, national weekly data"
601,America (total),,America,1021703563,cases,320492.0,2020-20,60.6983299714694,2106587.0,"Epidemic intelligence, national weekly data"
602,America (total),,America,1021703563,cases,387488.0,2020-21,69.2940717482846,2494075.0,"Epidemic intelligence, national weekly data"
603,America (total),,America,1021703563,cases,437717.0,2020-22,80.767556254475,2931792.0,"Epidemic intelligence, national weekly data"
604,America (total),,America,1021703563,cases,467311.0,2020-23,88.5802920509146,3399103.0,"Epidemic intelligence, national weekly data"
605,America (total),,America,1021703563,cases,484236.0,2020-24,93.1333739510508,3883339.0,"Epidemic intelligence, national weekly data"
606,America (total),,America,1021703563,cases,596827.0,2020-25,105.809849270341,4480166.0,"Epidemic intelligence, national weekly data"
607,America (total),,America,1021703563,cases,697610.0,2020-26,126.693989027422,5177776.0,"Epidemic intelligence, national weekly data"
608,America (total),,America,1021703563,cases,780343.0,2020-27,144.655754714247,5958119.0,"Epidemic intelligence, national weekly data"
609,America (total),,America,1021703563,cases,872826.0,2020-28,161.805151696432,6830945.0,"Epidemic intelligence, national weekly data"
610,America (total),,America,1021703563,cases,930712.0,2020-29,176.522629979318,7761657.0,"Epidemic intelligence, national weekly data"
